Wall time,Step,Value
1729084587.6308084,1006,163.0
1729084602.0291107,1007,248.0
1729084624.0768778,1008,910.0
1729084818.412135,1010,31.0
1729084854.0781958,1011,1495.0
1729084899.7166383,1012,1825.0
1729085108.4857972,1014,1105.0
1729085145.0730524,1015,692.0
1729085157.394458,1016,496.0
1729085320.9142935,1017,275.0
1729085344.333969,1019,222.0
1729085351.395118,1020,275.0
1729085502.587797,1021,506.0
1729085517.5572348,1022,611.0
1729085549.4044771,1023,1287.0
1729085570.9563627,1024,891.0
1729085743.7193782,1025,1767.0
1729085788.3086066,1026,1395.0
1729085802.3691285,1027,509.0
1729085812.4815953,1028,400.0
1729085964.169327,1029,456.0
1729085973.0551698,1030,362.0
1729086002.3495498,1032,385.0
1729086150.1788132,1033,777.0
1729086165.1189373,1034,590.0
1729086167.9515934,1035,101.0
1729086181.2817564,1036,538.0
1729086309.7956798,1037,382.0
1729086328.9838557,1038,777.0
1729086332.711412,1039,134.0
1729086352.302102,1040,749.0
1729086467.4302032,1041,262.0
1729086475.4546845,1042,310.0
1729086496.9070656,1043,851.0
1729086507.726332,1044,421.0
1729086619.9868023,1045,271.0
1729086633.7949486,1046,540.0
1729086648.9605367,1047,609.0
1729086656.7598486,1048,291.0
1729086838.3056517,1050,2114.0
1729086875.774483,1051,1311.0
1729086894.0012672,1052,410.0
1729087098.3342156,1053,197.0
1729087135.8654008,1054,1048.0
1729087168.715798,1055,981.0
1729087410.711406,1057,1078.0
1729087435.9253874,1058,530.0
1729087467.111486,1059,784.0
1729087530.234232,1060,1948.0
1729087787.8642123,1061,2079.0
1729088055.3339508,1065,1146.0
1729088093.7815988,1066,1247.0
1729088141.7486484,1067,1002.0
1729088159.9541442,1068,229.0
1729088408.2335832,1069,1696.0
1729088419.8323176,1070,380.0
1729088475.2268035,1071,1310.0
1729088526.4627886,1072,1266.0
1729088749.6770854,1073,1012.0
1729088753.4664338,1074,101.0
1729088785.727293,1075,1038.0
1729088813.2815259,1076,657.0
1729089030.0815618,1077,492.0
1729089049.5451283,1078,606.0
1729089062.101056,1079,332.0
1729089118.927744,1080,1667.0
1729089370.875419,1081,1695.0
1729089398.009305,1082,525.0
1729089417.1908033,1083,274.0
1729089467.3236828,1084,1523.0
1729089664.9987352,1085,137.0
1729089686.0424216,1086,324.0
1729089714.2191706,1087,179.0
1729089728.2805579,1088,333.0
1729089951.3410275,1089,530.0
1729090012.658628,1091,711.0
1729090240.2811787,1093,519.0
1729090259.7203307,1094,467.0
1729090315.8404126,1095,1695.0
